Week	Song	Artist(s)	IssueDate	Year
1	Locked Out of Heaven	Bruno Mars	January 5	2013
2	Locked Out of Heaven	Bruno Mars	January 12	2013
3	Locked Out of Heaven	Bruno Mars	January 19	2013
4	Locked Out of Heaven	Bruno Mars	January 26	2013
5	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	February 2	2013
6	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	February 9	2013
7	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	February 16	2013
8	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	February 23	2013
9	Harlem Shake	Baauer	March 2	2013
10	Harlem Shake	Baauer	March 9	2013
11	Harlem Shake	Baauer	March 16	2013
12	Harlem Shake	Baauer	March 23	2013
13	Harlem Shake	Baauer	March 30	2013
14	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	April 6	2013
15	Thrift Shop dagger[4]	Macklemore & Ryan Lewis featuring Wanz	April 13	2013
16	When I Was Your Man	Bruno Mars	April 20	2013
17	Just Give Me a Reason	Pink featuring Nate Ruess	April 27	2013
18	Just Give Me a Reason	Pink featuring Nate Ruess	May 4	2013
19	Just Give Me a Reason	Pink featuring Nate Ruess	May 11	2013
20	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	May 18	2013
21	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	May 25	2013
22	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	June 1	2013
23	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	June 8	2013
24	Can't Hold Us	Macklemore & Ryan Lewis featuring Ray Dalton	June 15	2013
25	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	June 22	2013
26	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	June 29	2013
27	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	July 6	2013
28	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	July 13	2013
29	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	July 20	2013
30	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	July 27	2013
31	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	August 3	2013
32	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	August 10	2013
33	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	August 17	2013
34	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	August 24	2013
35	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	August 31	2013
36	Blurred Lines	Robin Thicke featuring T.I. and Pharrell	September 7	2013
37	Roar	Katy Perry	September 14	2013
38	Roar	Katy Perry	September 21	2013
39	Wrecking Ball	Miley Cyrus	September 28	2013
40	Wrecking Ball	Miley Cyrus	October 5	2013
41	Royals	Lorde	October 12	2013
42	Royals	Lorde	October 19	2013
43	Royals	Lorde	October 26	2013
44	Royals	Lorde	November 2	2013
45	Royals	Lorde	November 9	2013
46	Royals	Lorde	November 16	2013
47	Royals	Lorde	November 23	2013
48	Royals	Lorde	November 30	2013
49	Royals	Lorde	December 7	2013
50	Wrecking Ball	Miley Cyrus	December 14	2013
51	The Monster	Eminem featuring Rihanna	December 21	2013
52	The Monster	Eminem featuring Rihanna	December 28	2013
